project,street,postal,year,typeOfSale,propertyType,price_psm,lat,lon
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,28800.0,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,29876.923076923078,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,27617.647058823528,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,29688.31168831169,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,32166.666666666668,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,28259.74025974026,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,35829.26829268293,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,26428.571428571428,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,27338.235294117647,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,32878.04878048781,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,25074.074074074073,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,26333.333333333332,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,26693.333333333332,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,24856.060606060608,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,25867.647058823528,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,29200.0,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,30272.727272727272,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,29200.0,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,25755.925925925927,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,28415.584415584417,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2022,1,Apartment,27200.0,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,32402.597402597403,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,24987.654320987655,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2022,1,Apartment,27298.7012987013,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2022,1,Apartment,25454.545454545456,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,25969.696969696968,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,29523.076923076922,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,27883.116883116883,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2022,1,Apartment,27308.823529411766,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2022,1,Apartment,26363.636363636364,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,28647.058823529413,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,29876.923076923078,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,30129.87012987013,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,30046.153846153848,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,29120.0,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,27389.61038961039,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,26045.454545454544,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,28380.8,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,28867.647058823528,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,28205.882352941175,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,26813.333333333332,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,28205.882352941175,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,28205.882352941175,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,28103.896103896102,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,25968.18181818182,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,28941.176470588234,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,29263.235294117647,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,28970.58823529412,1.273862943505204,103.8437104845058
