Feature,Value_scaled,Value_true,Average_ECSI,Average_SEVI,Std_ECSI,Std_SEVI
NDVI,0.840611,0.692775,0.198873,-0.26124,0.677473,0.826744
NDVI,0.932737,0.707004,0.227601,-0.300886,0.689365,0.834384
NDVI,1.024864,0.721233,0.256072,-0.339499,0.700974,0.842234
NDVI,1.11699,0.735462,0.284569,-0.376819,0.712422,0.850283
NDVI,1.209116,0.749691,0.313248,-0.41275,0.724121,0.858595
NDVI,1.301242,0.76392,0.342586,-0.447186,0.736318,0.867181
NDVI,1.393369,0.778149,0.372747,-0.480193,0.74921,0.876062
NDVI,1.485495,0.792378,0.403749,-0.511954,0.762675,0.885145
NDVI,1.577621,0.806607,0.435713,-0.542406,0.776541,0.894242
NDVI,1.669747,0.820836,0.468661,-0.571712,0.790959,0.90321
NDVI,1.761874,0.835065,0.502562,-0.600031,0.805966,0.91199
NDVI,1.854,0.849294,0.537308,-0.62736,0.82119,0.92052
NDVI,1.946126,0.863523,0.572677,-0.653836,0.836526,0.928808
NDVI,2.038253,0.877752,0.608779,-0.679542,0.851826,0.936799
NDVI,2.130379,0.891981,0.64567,-0.704608,0.867145,0.944474
NDVI,2.222505,0.90621,0.683201,-0.729173,0.88227,0.951787
NDVI,2.314631,0.920439,0.721356,-0.753331,0.896834,0.958673
NDVI,2.406758,0.934667,0.760172,-0.777186,0.91088,0.96516
DIS_CBD,-1.965494,1222.310334,0.068378,0.397879,0.209671,0.591682
DIS_CBD,-1.883182,1708.376443,0.027454,0.371357,0.210245,0.588428
DIS_CBD,-1.80087,2194.442552,-0.013364,0.344377,0.210974,0.585616
DIS_CBD,-1.718558,2680.50866,-0.054089,0.316941,0.211985,0.583287
DIS_CBD,-1.636245,3166.574769,-0.094651,0.289105,0.213183,0.581537
DIS_CBD,-1.553933,3652.640878,-0.135078,0.260861,0.214599,0.580413
DIS_CBD,-1.471621,4138.706987,-0.175221,0.232259,0.216329,0.57996
DIS_CBD,-1.389309,4624.773095,-0.214642,0.203491,0.218422,0.580206
DIS_CBD,-1.306997,5110.839204,-0.252989,0.174772,0.220994,0.581254
DIS_CBD,-1.224685,5596.905313,-0.289817,0.146325,0.224125,0.583128
DIS_CBD,-1.142373,6082.971421,-0.324558,0.118429,0.228009,0.585981
DIS_CBD,-1.060061,6569.03753,-0.356611,0.09142,0.232852,0.590008
DIS_CBD,-0.977749,7055.103639,-0.38499,0.065708,0.238984,0.595312
DIS_CBD,-0.895437,7541.169748,-0.408553,0.041846,0.246794,0.602126
DIS_CBD,-0.813125,8027.235856,-0.425869,0.020665,0.256813,0.61069
DIS_CBD,-0.730813,8513.301965,-0.435155,0.003216,0.269784,0.621388
DIS_CBD,-0.648501,8999.368074,-0.434075,-0.009091,0.287,0.634852
DIS_CBD,-0.566189,9485.434182,-0.420107,-0.014657,0.311306,0.651929
DIS_CBD,-0.483877,9971.500291,-0.391246,-0.012222,0.344543,0.672729
DIS_CBD,-0.401565,10457.5664,-0.346534,-0.001408,0.388703,0.696362
DIS_CBD,-0.319253,10943.632509,-0.287597,0.016149,0.442634,0.720821
DIS_CBD,-0.236941,11429.698617,-0.21811,0.037427,0.504235,0.744363
DIS_CBD,-0.154629,11915.764726,-0.144768,0.057997,0.566619,0.764396
DIS_CBD,-0.072316,12401.830835,-0.073252,0.074701,0.624736,0.778915
DIS_CBD,0.009996,12887.896943,-0.00587,0.085906,0.676591,0.787536
DIS_CBD,0.092308,13373.963052,0.056671,0.0917,0.721511,0.791109
DIS_CBD,0.17462,13860.029161,0.115025,0.092979,0.757937,0.791385
DIS_CBD,0.256932,14346.09527,0.169707,0.09117,0.785222,0.790491
DIS_CBD,0.339244,14832.161378,0.219463,0.087832,0.80118,0.790479
DIS_CBD,0.421556,15318.227487,0.263687,0.084144,0.807775,0.792789
DIS_CBD,0.503868,15804.293596,0.29875,0.080118,0.805881,0.797687
DIS_CBD,0.58618,16290.359704,0.321334,0.075418,0.797175,0.804102
DIS_CBD,0.668492,16776.425813,0.32791,0.068692,0.783355,0.810708
DIS_CBD,0.750804,17262.491922,0.317738,0.05894,0.766144,0.816206
DIS_CBD,0.833116,17748.55803,0.29192,0.046795,0.748609,0.820749
DIS_CBD,0.915428,18234.624139,0.252368,0.032688,0.733681,0.825136
DIS_CBD,0.99774,18720.690248,0.200406,0.016494,0.723175,0.829638
DIS_CBD,1.080052,19206.756357,0.137305,-0.001524,0.717131,0.834489
DIS_CBD,1.162364,19692.822465,0.064493,-0.02137,0.714915,0.840057
DIS_CBD,1.244676,20178.888574,-0.014878,-0.042213,0.715152,0.846838
DIS_CBD,1.326988,20664.954683,-0.098684,-0.063576,0.715497,0.854733
DIS_CBD,1.409301,21151.020791,-0.185151,-0.085248,0.714879,0.863351
DIS_CBD,1.491613,21637.0869,-0.27217,-0.106685,0.712662,0.872496
DIS_CBD,1.573925,22123.153009,-0.358471,-0.127212,0.709517,0.881942
DIS_CBD,1.656237,22609.219118,-0.443919,-0.147013,0.705555,0.891465
DIS_CBD,1.738549,23095.285226,-0.528416,-0.166005,0.701243,0.900971
DIS_CBD,1.820861,23581.351335,-0.611915,-0.184156,0.696727,0.910185
DIS_CBD,1.903173,24067.417444,-0.694211,-0.201443,0.692472,0.91892
DIS_CBD,1.985485,24553.483552,-0.775364,-0.217889,0.688359,0.927278
DIS_CBD,2.067797,25039.549661,-0.855477,-0.233754,0.684324,0.935099
DIS_MRT,-0.871506,50.503656,-0.047803,0.187145,0.730896,0.763245
DIS_MRT,-0.771742,200.435517,-0.046388,0.154388,0.708615,0.755956
DIS_MRT,-0.671978,350.367379,-0.04407,0.122477,0.686422,0.747468
DIS_MRT,-0.572213,500.29924,-0.040147,0.09111,0.665835,0.737734
DIS_MRT,-0.472449,650.231101,-0.03393,0.060204,0.649253,0.727277
DIS_MRT,-0.372684,800.162962,-0.025083,0.029797,0.638311,0.716215
DIS_MRT,-0.27292,950.094823,-0.013934,-0.000272,0.633693,0.704707
DIS_MRT,-0.173156,1100.026685,-0.000808,-0.029853,0.634857,0.693267
DIS_MRT,-0.073391,1249.958546,0.014281,-0.058742,0.641856,0.682325
DIS_MRT,0.026373,1399.890407,0.030121,-0.08696,0.653312,0.672079
DIS_MRT,0.126137,1549.822268,0.04599,-0.114418,0.667888,0.662588
DIS_MRT,0.225902,1699.75413,0.060583,-0.141121,0.684202,0.653673
DIS_MRT,0.325666,1849.685991,0.072667,-0.167229,0.698936,0.645038
DIS_MRT,0.425431,1999.617852,0.081564,-0.192843,0.711177,0.636533
DIS_MRT,0.525195,2149.549713,0.086885,-0.218001,0.719448,0.62833
DIS_MRT,0.624959,2299.481574,0.088706,-0.242658,0.722562,0.620383
DIS_MRT,0.724724,2449.413436,0.087005,-0.266676,0.720766,0.612796
DIS_MRT,0.824488,2599.345297,0.082019,-0.290112,0.715275,0.605609
DIS_MRT,0.924252,2749.277158,0.07441,-0.312829,0.706502,0.598882
DIS_MRT,1.024017,2899.209019,0.064565,-0.334681,0.695072,0.592748
DIS_MRT,1.123781,3049.140881,0.052907,-0.355429,0.682314,0.587202
