OBJECTID,BHD
2008,14.3558
2009,1.6536
2010,1.7814
2012,0.0
2013,1.7633
2014,3.4073
2015,12.194
2016,4.7021
2017,13.1432
2018,2.3899
2019,9.6533
2020,5.8269
2021,3.3771
2022,0.0
2023,0.6389
2024,31.1186
2025,4.7004
2026,2.2361
2028,3.1447
2029,0.0
2030,14.5693
2031,3.2358
2032,3.429
2033,4.9711
2034,2.1794
2035,6.8568
2036,1.5
2037,3.3442
2039,12.8881
2040,14.2426
2041,10.8282
2042,3.8586
2044,6.0668
2045,2.3212
2046,6.8002
2048,7.1267
2049,26.7032
2050,3.7712
2052,14.3273
2053,0.0
2054,15.0462
2055,0.0
2056,0.0
2057,3.3179
2058,7.8831
2059,18.0801
2060,3.3442
2061,5.2482
2062,0.0
2063,5.3698
2064,1.0
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,1.9455
2071,0.0
2072,2.1849
2073,5.9227
2074,0.0
2075,4.4538
2076,9.6974
2077,14.8155
2078,14.3056
2079,13.824
2080,11.2029
2081,2.4944
2082,0.8
2083,8.7258
2084,0.0
2085,14.4152
2087,1.42
2088,1.0
2089,0.9207
2090,11.7047
2091,5.4083
2093,1.5
2094,0.0
2095,10.3305
2096,12.6063
2097,1.4697
2098,0.0
2099,0.0
2100,26.0932
2101,0.0
2102,14.5482
2103,0.0
2104,10.1481
2105,0.9428
2106,12.5687
2107,0.0
2108,0.0
2109,4.8869
2110,4.2426
2111,0.0
2112,26.3574
2113,13.4092
2114,9.5107
2115,8.7121
2117,14.4264
2118,15.8887
2120,2.4924
2121,2.1047
2122,10.8423
2123,16.3025
2124,3.9071
2125,11.5
2126,0.0
2127,3.0723
2128,0.866
2129,0.0
2130,17.8025
2131,33.5
2133,4.385
2135,0.0
2136,6.0207
2137,2.929
2138,10.0705
2139,0.0
2140,0.0
2141,5.7697
2142,5.2856
2143,4.0299
2144,1.6997
2145,6.8285
2146,15.6991
2147,3.1828
2148,3.8624
2149,11.2823
2150,10.5
2152,3.9192
2153,4.836
2154,6.5131
2155,16.1402
2156,5.4772
2157,1.9391
2160,0.0
2161,1.1748
2162,2.351
2163,0.7692
2164,1.5
2165,2.6597
2166,0.0
2167,5.384
2168,0.5
2169,3.337
2170,3.0054
2171,11.8831
2172,2.7806
2173,6.941
2174,1.5961
2175,0.866
2176,0.0
2177,7.8987
2178,2.5991
2179,22.1835
2180,0.0
2182,3.6962
2183,26.1551
2184,3.1041
2185,12.2754
2186,1.5908
2187,9.0
2189,0.9428
2190,6.0391
2191,1.4142
2192,1.8283
2193,0.0
2194,6.1602
2195,2.7589
2197,3.6295
2198,1.3514
2199,21.6953
2200,1.4142
2201,10.1697
2202,0.8749
2203,5.3613
2204,9.8974
2206,0.0
2207,13.5533
2208,0.0
2209,18.5717
2210,2.795
2211,7.7939
2212,0.0
2213,2.289
2214,2.357
2215,17.6642
2217,0.0
2218,14.4017
2219,1.0
2220,15.2102
2221,0.0
2222,2.2706
2223,21.0159
2224,4.3016
2225,9.0449
2226,12.3627
2227,0.0
2228,7.4171
2230,0.0
2231,6.6084
2233,10.0195
2234,1.9424
2235,0.4714
2236,1.7165
2237,2.0
2238,3.3171
2239,1.6782
2240,22.9458
2241,6.7282
2242,10.6102
2243,6.3356
2244,1.0198
2245,0.0
2246,2.535
2247,24.6681
2248,5.1521
2249,0.0
2250,0.0
2251,11.9693
2252,7.2662
2253,20.7002
2254,0.0
2255,30.991
2256,0.0
2257,0.0
2258,1.898
2259,0.0
2260,0.0
2261,15.2401
2262,31.9571
2264,0.0
2265,0.0
2266,13.5483
2267,11.9292
2268,0.0
2269,2.7814
2270,0.0
2271,15.2892
2272,0.8165
2273,5.8041
2274,1.0136
2275,0.0
2276,10.7319
2277,4.899
2278,13.1284
2279,3.2807
2280,11.9733
2281,1.4142
2282,7.7646
2283,0.0
2284,0.0
2285,2.4944
2286,0.0
2287,24.9132
2288,6.4756
2289,15.6443
2290,17.54
2291,12.962
2293,0.0
2295,2.1111
2296,1.4396
2297,11.6691
2298,2.9627
2301,5.4679
2302,29.2093
2303,3.0375
2304,2.5
2305,11.7546
2306,5.0159
2308,2.9569
2310,0.0
2311,23.8919
2312,10.5384
2313,1.9778
2314,4.2829
2315,2.2151
2317,0.0
2318,0.0
2319,2.0546
2320,18.1279
2321,6.5791
2322,4.6826
2323,5.9378
2325,21.0433
2326,0.0
2327,1.4938
2328,26.6192
2329,18.3095
2330,7.433
2332,3.6818
2333,2.357
2334,3.1985
2336,7.9289
2338,1.299
2339,0.0
2340,11.6378
2341,2.3317
2342,16.8264
2343,6.7756
2345,14.6545
2346,0.0
2347,6.543
2348,4.0236
2349,41.6352
2350,13.1068
2351,4.3174
2352,16.1828
2353,0.0
2354,1.17
2355,1.9391
2356,16.4797
2357,0.0
2360,45.1069
2362,4.4969
2363,4.0546
2364,13.2995
2365,11.9282
2367,21.1435
2368,21.0
2369,4.8475
2370,19.5352
2371,2.1381
2373,0.0
2375,25.0449
2377,11.4601
2380,0.0
2382,13.8823
2383,3.9741
2384,5.0
2385,0.0
2386,4.5406
2387,1.3234
2388,2.1569
2390,1.5
2392,2.4786
2393,4.4283
2394,0.0
2395,13.6499
2397,8.0117
2398,17.4858
2399,4.2984
2400,6.1627
2401,0.0
2402,15.2204
2403,5.0584
2405,2.6666
2406,8.5757
2407,0.0
2408,0.0
2409,1.4293
2410,0.0
2411,17.1956
2412,3.9086
2413,0.0
2414,0.0
2415,5.9464
2416,1.2547
2417,3.8794
2418,7.2369
2419,0.0
2420,5.5702
2422,15.7054
2423,79.9697
2424,7.234
2425,12.3763
2426,2.5029
2427,2.0041
2428,0.0
2430,2.603
2431,2.5
2432,1.7897
2433,11.192
2434,0.0
2435,0.0
2436,0.0
2437,26.9475
2438,2.8636
2439,10.619
2440,4.9131
2443,7.9178
2445,18.2754
2446,10.641
2447,3.1895
2449,0.866
2450,7.4381
2451,0.4899
2452,4.5277
2453,0.0
2454,12.0128
2455,25.6427
2456,7.2614
2457,5.2183
2458,9.8711
2459,10.8722
2460,12.388
2461,3.7811
2462,2.1166
2463,4.4802
2464,9.2438
2466,5.812
2467,0.0
2468,11.1314
2470,5.6292
2471,0.0
2473,0.0
2475,9.2199
2476,9.7444
2478,4.4232
2479,7.4231
2480,2.0396
2481,15.1561
2482,0.0
2483,12.9168
2484,7.6478
2485,3.468
2486,9.7077
2487,6.1007
2488,28.6531
2489,13.2003
2490,2.9475
2491,4.1307
2492,0.0
2493,3.2998
2494,0.0
2495,1.8468
2496,1.8856
2497,17.6759
2498,0.0
2499,0.0
2500,15.195
2501,6.6979
2502,2.8125
2503,7.1336
2505,16.5067
2507,0.9574
2509,13.4834
2510,0.0
2511,7.2789
2512,0.0
2513,13.738
2514,1.2472
2515,0.0
2516,0.0
2517,15.0719
2518,7.266
2519,3.3564
2520,13.8102
2521,8.7935
2522,2.4663
2523,1.9258
2524,18.3727
2525,0.0
2526,0.0
2527,0.0
2528,18.9066
2529,18.6483
2530,12.0194
2531,0.0
2532,14.5288
2533,0.6849
2534,1.8787
2536,0.0
2537,10.1865
2538,11.7217
2539,18.1959
2540,2.8079
2541,14.8861
2542,15.5136
2543,0.0
2545,0.0
2546,0.4714
2547,27.7444
2548,5.4283
2549,3.7268
2551,4.7802
2553,3.3577
