OBJECTID,ECSI,SEVI
734,0.387612,0.395051
735,0.27886,0.465063
736,0.240236,0.53211
738,0.33424,0.55237
739,0.365907,0.332637
740,0.439366,0.437997
742,0.300612,0.281858
743,0.220318,0.09042
744,0.372469,0.3824
745,0.383094,0.641858
746,0.437934,0.341259
749,0.326551,0.096616
750,0.226787,0.450286
751,0.121421,0.394357
752,0.383606,0.111383
753,0.352603,0.288544
754,0.108559,0.457534
755,0.457284,0.439596
757,0.386202,0.432447
758,0.407688,0.376686
759,0.355254,0.389119
760,0.394497,0.376177
761,0.384389,0.434676
762,0.328373,0.258035
763,0.329347,0.607266
764,0.179835,0.42608
766,0.293767,0.132635
768,0.285724,0.585588
769,0.392816,0.468547
770,0.453782,0.184113
771,0.28847,0.017433
772,0.282585,0.561269
774,0.402581,0.500005
775,0.305653,0.31627
777,0.311503,0.136299
778,0.427088,0.398698
779,0.392736,0.4687
780,0.380965,0.459248
781,0.342107,0.087226
782,0.259035,0.098442
783,0.413774,0.417557
784,0.30724,0.525797
785,0.325956,0.129224
786,0.4596,0.421101
787,0.44836,0.491684
789,0.205565,0.095344
790,0.338777,0.469028
791,0.386626,0.109329
792,0.363683,0.111841
793,0.407982,0.39139
795,0.309554,0.476211
796,0.32105,0.089577
797,0.42193,0.468083
798,0.446332,0.570397
799,0.425384,0.569744
801,0.419609,0.329079
802,0.15331,0.565046
803,0.323703,0.430387
805,0.33623,0.302428
807,0.343868,0.13864
808,0.508813,0.44278
809,0.383554,0.482345
810,0.399586,0.192669
811,0.146718,0.083684
812,0.280765,0.286888
813,0.110925,0.0219
814,0.341443,0.29446
815,0.375702,0.121469
816,0.167703,0.341358
818,0.396142,0.444453
819,0.408615,0.490997
820,0.487558,0.437224
822,0.397916,0.383615
823,0.380954,0.439279
824,0.336704,0.057054
825,0.229268,0.733763
826,0.404428,0.459869
827,0.15662,0.33151
829,0.314875,0.678075
830,0.185421,0.284015
831,0.44847,0.47626
832,0.46482,0.439744
833,0.319331,0.123798
834,0.095122,0.04102
835,0.367645,0.493801
836,0.422032,0.445444
838,0.320329,0.644386
839,0.146882,0.361557
840,0.287286,0.350748
841,0.509823,0.425372
842,0.146305,0.114795
843,0.40195,0.511809
844,0.321219,0.622963
845,0.478652,0.432181
846,0.177399,0.114509
847,0.423732,0.557708
848,0.153131,0.061863
849,0.12717,0.486518
850,0.219073,0.380016
851,0.177076,0.064571
852,0.24186,0.432555
854,0.368983,0.115424
855,0.168316,0.356921
856,0.42185,0.501697
858,0.34242,0.132899
859,0.295129,0.44885
861,0.420035,0.507574
862,0.354157,0.126204
863,0.410052,0.371216
864,0.043776,0.029043
865,0.161052,0.035395
866,0.271506,0.11359
867,0.383322,0.1545
868,0.305079,0.303239
869,0.356208,0.303544
871,0.13994,0.377272
872,0.328185,0.761264
873,0.114773,0.498972
874,0.303847,0.474245
875,0.14037,0.459866
876,0.366268,0.531185
877,0.293547,0.497639
878,0.299103,0.530889
879,0.379262,0.333811
880,0.262114,0.333327
881,0.352275,0.145663
883,0.385033,0.406834
884,0.33705,0.115279
885,0.371599,0.371063
886,0.438443,0.375787
887,0.141693,0.271556
888,0.360043,0.68605
889,0.275346,0.300549
892,0.370913,0.731022
893,0.407501,0.42459
894,0.232508,0.095734
895,0.213007,0.276577
896,0.269945,0.122956
897,0.335769,0.490813
898,0.425687,0.430101
899,0.245417,0.297497
900,0.387923,0.417144
901,0.369706,0.474888
902,0.453887,0.486748
903,0.393363,0.471069
904,0.138917,0.389763
905,0.385048,0.481883
906,0.442509,0.375831
907,0.338055,0.414762
908,0.330998,0.615423
909,0.353671,0.566693
910,0.374881,0.435397
911,0.319123,0.122461
913,0.24091,0.575227
914,0.218853,0.081759
915,0.198282,0.132762
916,0.357133,0.135667
917,0.415214,0.61236
918,0.360648,0.470103
919,0.376171,0.49279
920,0.247983,0.177259
921,0.373423,0.485264
922,0.253117,0.320277
923,0.405829,0.434061
924,0.355523,0.123318
925,0.345747,0.124833
926,0.40594,0.446142
927,0.36906,0.405593
928,0.385718,0.19909
929,0.298169,0.252811
932,0.286312,0.308146
933,0.236229,0.274248
934,0.267322,0.453552
935,0.375424,0.223961
936,0.403928,0.343682
937,0.461459,0.426275
938,0.262669,0.522177
939,0.398226,0.510313
940,0.375059,0.412174
941,0.142739,0.570653
942,0.36322,0.357684
943,0.398522,0.109357
944,0.36342,0.130885
945,0.313752,0.142405
948,0.433052,0.678309
949,0.39247,0.307555
950,0.253087,0.525281
951,0.337916,0.501539
952,0.430612,0.408398
953,0.103466,0.07037
954,0.429191,0.763786
955,0.273588,0.440186
956,0.326879,0.407035
957,0.172129,0.123797
958,0.295085,0.422761
959,0.193069,0.067603
960,0.379601,0.104948
961,0.441937,0.409655
962,0.274112,0.136974
963,0.311828,0.111165
964,0.12636,0.095372
965,0.384435,0.434684
966,0.350589,0.290337
967,0.442115,0.348342
968,0.323563,0.914818
969,0.164873,0.289727
972,0.348347,0.388425
973,0.371723,0.491397
974,0.253778,0.488782
975,0.40744,0.431872
976,0.365072,0.423673
977,0.378652,0.520547
978,0.441993,0.376678
979,0.271994,0.099506
980,0.377726,0.253993
981,0.211207,0.282185
983,0.286447,0.134514
984,0.375078,0.289319
985,0.288022,0.45887
986,0.063736,0.201787
987,0.299303,0.502133
988,0.34098,0.133722
989,0.283843,0.456469
990,0.387602,0.569841
991,0.107047,0.121816
992,0.282129,0.487882
993,0.305915,0.790109
994,0.443121,0.452755
996,0.151531,0.136871
997,0.43685,0.17499
999,0.347836,0.150684
1001,0.262519,0.465414
1002,0.308332,0.142395
1003,0.329183,0.297798
1004,0.457011,0.331724
1005,0.471177,0.401411
1006,0.461105,0.466898
1007,0.398609,0.108932
1008,0.311794,0.118298
1009,0.359084,0.255103
1010,0.466493,0.732783
1011,0.35294,0.114914
1012,0.385267,0.464285
1013,0.356242,0.379249
1016,0.176847,0.34278
1017,0.280118,0.118633
1018,0.391012,0.09404
1019,0.367139,0.670734
1022,0.377463,0.161792
1023,0.395706,0.443527
1024,0.363686,0.117157
1025,0.363685,0.45991
1026,0.339465,0.429462
1027,0.413944,0.414371
1028,0.311406,0.406495
1030,0.409987,0.110091
1031,0.358923,0.301953
1032,0.356325,0.451806
1033,0.285473,0.426826
1034,0.161904,0.098737
1035,0.27733,0.426619
1036,0.159595,0.193975
1037,0.399089,0.461266
1038,0.285176,0.46741
1039,0.371905,0.563951
1040,0.300575,0.373328
1042,0.393281,0.442054
1044,0.359257,0.128734
1046,0.303021,0.687354
1047,0.248441,0.177639
1049,0.449986,0.401706
1050,0.262549,0.353588
1051,0.328908,0.471544
1053,0.158439,0.07948
1054,0.341493,0.293533
1056,0.093146,0.036694
1057,0.276358,0.449157
1058,0.484052,0.493757
1059,0.425159,0.330882
1060,0.282277,0.150973
1061,0.246463,0.505867
1062,0.40563,0.104212
1063,0.394939,0.556284
1064,0.332833,0.354189
1065,0.421807,0.132662
1066,0.294268,0.639458
1067,0.489136,0.197452
1068,0.410719,0.378293
1069,0.37292,0.42611
1070,0.438952,0.453375
1071,0.140452,0.594103
1072,0.256314,0.014805
1073,0.138683,0.481531
1074,0.146487,0.087111
1075,0.308608,0.465295
1076,0.489431,0.482702
1077,0.415529,0.395293
1078,0.322384,0.082613
1079,0.409563,0.407
1080,0.345522,0.291781
1081,0.201279,0.567858
1082,0.429388,0.479547
1083,0.455319,0.516526
1084,0.345024,0.133402
1085,0.151365,0.23078
1086,0.327515,0.72191
1087,0.261007,0.347492
1088,0.201511,0.082055
1089,0.294841,0.06505
1090,0.395977,0.497771
1091,0.423518,0.359543
1092,0.167642,0.079684
1093,0.341234,0.132391
1094,0.375887,0.120323
1095,0.322796,0.407883
1098,0.346276,0.484842
1100,0.365646,0.358658
1101,0.353582,0.336324
1102,0.315321,0.300565
1103,0.498256,0.518399
1104,0.478444,0.473886
1105,0.284774,0.152015
1106,0.13485,0.030851
1107,0.287837,0.152502
1109,0.122297,0.087514
1110,0.45487,0.403633
1111,0.419784,0.422515
1112,0.128008,0.579564
1114,0.313495,0.445274
1115,0.286247,0.145304
1117,0.382192,0.206183
1118,0.306571,0.314758
1120,0.327567,0.502862
1122,0.246593,0.098793
1123,0.400073,0.541329
1124,0.45646,0.332472
1125,0.474523,0.444577
1126,0.346342,0.392898
1127,0.339565,0.242811
1129,0.325692,0.516243
1130,0.287346,0.393352
1132,0.341645,0.116238
1134,0.30509,0.727998
1135,0.185242,0.056967
1137,0.462791,0.376024
1138,0.291507,0.374201
1139,0.124238,0.472604
1140,0.125699,0.067793
1141,0.189394,0.282238
1142,0.340703,0.521072
1143,0.44029,0.41392
1144,0.372044,0.381673
1145,0.381732,0.13607
1147,0.339245,0.420296
1148,0.175843,0.257506
1149,0.286428,0.382747
1150,0.308437,0.145077
1151,0.444772,0.110416
1152,0.162493,0.032381
1153,0.144944,0.205994
1154,0.414287,0.432318
1155,0.405451,0.106958
1156,0.392899,0.470381
1157,0.329982,0.147697
1158,0.32071,0.425122
1159,0.478959,0.438153
1160,0.245642,0.511379
1161,0.133942,0.385131
1162,0.118838,0.078935
1163,0.471334,0.607343
1165,0.434995,0.358512
1167,0.372237,0.111978
1168,0.41405,0.296586
1169,0.435293,0.597217
1170,0.152411,0.215478
1171,0.437195,0.551709
1172,0.360973,0.363973
1173,0.433121,0.470752
1174,0.308877,0.370193
1175,0.382679,0.529715
1177,0.424311,0.217836
1178,0.34923,0.511454
1179,0.439847,0.431185
1180,0.321893,0.123057
1181,0.248568,0.279059
1182,0.138735,0.360887
1183,0.316646,0.433648
1184,0.337714,0.490851
1185,0.476034,0.396552
1186,0.322928,0.420147
1187,0.034076,0.021627
1188,0.311362,0.425603
1189,0.104083,0.02883
1190,0.253104,0.102918
1191,0.302096,0.149999
1192,0.295616,0.723866
1193,0.305289,0.142709
1194,0.396641,0.127927
1195,0.348905,0.465127
1196,0.441163,0.490772
1197,0.257373,0.037421
1198,0.390917,0.577483
1199,0.089053,0.033307
1200,0.408985,0.488216
1201,0.404659,0.279258
1203,0.256597,0.496429
1204,0.341824,0.510277
1205,0.174919,0.032126
1206,0.350804,0.496369
1208,0.249398,0.436685
1209,0.204224,0.543022
1210,0.292479,0.201444
1211,0.342937,0.342819
1212,0.329086,0.479994
1213,0.133444,0.461849
1214,0.440777,0.614819
1215,0.283561,0.509334
1216,0.364404,0.484738
1217,0.379688,0.41701
1218,0.12891,0.419847
1219,0.316275,0.112835
1222,0.270038,0.531057
1224,0.446703,0.340431
1225,0.128744,0.478278
1226,0.369264,0.114594
1228,0.451586,0.389945
1229,0.285858,0.131107
1230,0.26083,0.406088
1231,0.345714,0.140159
1232,0.144384,0.295915
1233,0.255435,0.116502
1234,0.483286,0.497464
1235,0.250724,0.543206
1236,0.198247,0.275235
1237,0.352215,0.299385
1238,0.364815,0.141022
1239,0.346336,0.677971
1240,0.381487,0.542215
1242,0.320048,0.021376
1243,0.325398,0.130706
1244,0.314873,0.425396
1245,0.163797,0.368286
1247,0.273188,0.369835
1248,0.186791,0.324928
1249,0.319929,0.591354
1250,0.260274,0.619957
1251,0.055392,0.027244
1252,0.416213,0.475569
1253,0.332065,0.132271
1255,0.292098,0.487678
1256,0.165112,0.23321
1257,0.180932,0.019906
1258,0.367273,0.282512
1260,0.337581,0.202837
1261,0.142956,0.180368
1263,0.170311,0.453354
1264,0.297911,0.554901
1265,0.232297,0.422672
1266,0.37735,0.530478
