OBJECTID,LSI,LPI,MENN,SHDI
40,2.857142857142857,74.60317460317461,18.208910455654223,0.5117400734174093
41,1.75,68.70748299319727,0.0,0.9471008023518281
42,1.0,100.0,0.0,0.6900666586707636
43,1.4761904761904763,85.01170960187353,0.0,0.45072965501304574
44,1.7857142857142858,45.35147392290249,252.48809496813374,1.0926882231281978
45,1.130952380952381,96.3718820861678,0.0,0.1400813599784731
46,3.011904761904762,24.71655328798186,10.0,0.8061804224964333
48,2.292682926829268,26.715686274509803,62.46858057676743,1.094485962199075
51,1.8571428571428572,50.79365079365079,28.10643196232315,0.5241824083678722
52,1.0,100.0,0.0,0.6900666586707636
53,1.8333333333333333,40.58956916099773,31.812166274155093,0.6444488910171988
55,2.1904761904761907,52.38095238095238,10.0,0.4562635425192022
56,1.5833333333333333,78.68480725623583,0.0,0.6803637260624266
57,2.011904761904762,30.979498861047837,40.0,1.0704078684546339
59,2.0714285714285716,42.857142857142854,26.055512754639896,1.0562741262662787
61,1.0,100.0,0.0,0.6900666586707636
62,1.9047619047619047,39.229024943310655,21.907544427600495,0.7320146710933055
63,1.8333333333333333,37.188208616780045,27.746031746031747,0.6046901376221541
64,1.880952380952381,70.06802721088435,20.0,0.5053137913757645
65,1.0,100.0,0.0,0.6900666586707636
68,2.130952380952381,39.682539682539684,43.566468093526396,0.8802516857486891
69,2.0952380952380953,33.78684807256236,76.73286341182778,1.2831658365900391
70,1.2857142857142858,56.46258503401361,0.0,0.6845482418682356
71,2.1547619047619047,36.054421768707485,39.87643019210967,0.8388575271673433
72,1.7857142857142858,56.00907029478458,20.0,0.8699161968193351
73,2.3095238095238093,41.950113378684804,19.218235553325894,0.6025775054772525
74,1.8243243243243243,68.23529411764706,20.0,0.6114038743202148
75,1.869047619047619,41.043083900226755,26.055512754639892,1.075140382236098
76,1.6219512195121952,72.636815920398,35.13369516063737,0.538300834578655
77,1.880952380952381,61.904761904761905,46.69488610191613,0.869026638855276
78,2.4146341463414633,45.410628019323674,10.0,1.3189232583050423
79,3.25,44.21768707482993,14.10718208302001,0.9011763571745841
80,2.4523809523809526,58.50340136054422,10.655069047621614,0.9058958993591031
